station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_Potential,soilWater_content,rainfall,E_mg.plant.s,E_g.m2.h,wholePlantLeafArea_m2,PPFD,VPD,predawn,leaf.wp,ABA.umol.m3,predawn_interpolated_smooth
Bordeaux,2012,180,0,21.385,0.853774229,0.336545454,400,1,-0.133125,0.349054407,,0.165078493,4.576734548,0.1298486,0.1851,0.353611609,NA,NA,NA,-0.133125
Bordeaux,2012,180,1,21.185,0.859474225,0.334909091,400,1,-0.134232932761916,0.348927021,,0.09211563,2.553868645,0.1298486,0.1842,0.357279659,NA,NA,NA,-0.134232932761916
Bordeaux,2012,180,2,21.19875,0.858125477,0.339409091,400,1,-0.135352945790602,0.348500342,,0.3027064,8.392412693,0.1298486,0.186675,0.372225163,NA,NA,NA,-0.135352945790602
Bordeaux,2012,180,3,21.38375,0.853930164,0.344727272,400,1,-0.136497119352828,0.348330094,,0.115032395,3.18922671,0.1298486,0.1896,0.411166162,NA,NA,NA,-0.136497119352828
Bordeaux,2012,180,4,21.67375,0.841509226,11.19408208,400,1,-0.137677533715364,0.348245413,,0.054353288,1.506922956,0.1298486,6.156745146,0.46154732,NA,NA,NA,-0.137677533715364
Bordeaux,2012,180,5,21.961875,0.825274551,110.5616155,400,1,-0.138906269144981,0.347734848,,0.351871431,9.75549334,0.1298486,60.80888852,0.742782533,NA,NA,NA,-0.138906269144981
Bordeaux,2012,180,6,23.73,0.755870463,407.4902762,400,1,-0.140195405908447,0.345435245,,1.577869627,43.74579824,0.1298486,224.1196519,0.957916695,NA,NA,NA,-0.140195405908447
Bordeaux,2012,180,7,25.3025,0.705055817,835.4525454,400,1,-0.141557024272534,0.341773673,,2.517595881,69.79932916,0.1298486,459.4989,0.821415169,NA,NA,NA,-0.141557024272534
Bordeaux,2012,180,8,24.890625,0.740458485,1149.695556,400,1,-0.143003204504013,0.33813602,,2.513766136,69.69315101,0.1298486,632.3325555,0.696680931,NA,NA,NA,-0.143003204504013
Bordeaux,2012,180,9,24.49375,0.774030082,1169.660285,400,1,-0.144546026869651,0.334304127,,2.658971491,73.71891085,0.1298486,643.313157,0.700518612,-0.18,-0.58,NA,-0.144546026869651
Bordeaux,2012,180,10,24.795,0.77765219,1293.509507,400,1,-0.14619757163622,0.329770156,,3.139505552,87.04152364,0.1298486,711.4302287,0.960648147,-0.11,-0.465,393.8475902,-0.14619757163622
Bordeaux,2012,180,11,26.48625,0.73081866,1955.188621,400,1,-0.14796991907049,0.322897879,,4.754269776,131.8102097,0.1298486,1075.353742,1.297630887,-0.1225,-0.5525,192.28602,-0.14796991907049
Bordeaux,2012,180,12,28.491875,0.67212954,2232.167669,400,1,-0.14987514943923,0.315152364,,5.352291583,148.3901228,0.1298486,1227.692218,1.207390533,-0.12,-0.57,196.8879471,-0.14987514943923
Bordeaux,2012,180,13,28.119375,0.688244121,1630.186411,400,1,-0.151925343009211,0.309938417,,3.611816531,100.1361548,0.1298486,896.6025262,0.942324001,NA,NA,NA,-0.151925343009211
Bordeaux,2012,180,14,27.02875,0.738169494,1332.309505,400,1,-0.154132580047204,0.305980615,,2.734652923,75.81714799,0.1298486,732.7702279,0.967864705,NA,NA,NA,-0.154132580047204
Bordeaux,2012,180,15,27.5125,0.738658496,1606.697924,400,1,-0.156508940819977,0.300511307,,3.779307233,104.7797669,0.1298486,883.6838584,1.00853367,NA,NA,NA,-0.156508940819977
Bordeaux,2012,180,16,27.5825,0.728137036,1512.444377,400,1,-0.159066505594301,0.296063054,,3.070346334,85.12411224,0.1298486,831.8444072,0.883655729,NA,NA,NA,-0.159066505594301
Bordeaux,2012,180,17,26.586875,0.747456848,1010.900727,400,1,-0.161817354636948,0.293039108,,2.095181918,58.0880726,0.1298486,555.9954001,0.881968482,NA,NA,NA,-0.161817354636948
Bordeaux,2012,180,18,26.345,0.743782189,554.0857891,400,1,-0.164773568214684,0.291037298,,1.38553743,38.41346575,0.1298486,304.747184,1.051426049,NA,NA,NA,-0.164773568214684
Bordeaux,2012,180,19,26.914375,0.704894388,218.5880426,400,1,-0.167947226594281,0.290228325,,0.560058196,15.52738732,0.1298486,120.2234235,0.924114281,NA,NA,NA,-0.167947226594281
Bordeaux,2012,180,20,25.949375,0.729215829,44.94868658,400,1,-0.171350410042512,0.289866592,,0.252804401,7.008899921,0.1298486,24.72177762,0.625336333,NA,NA,NA,-0.171350410042512
Bordeaux,2012,180,21,24.153125,0.793333967,0.614727272,400,1,-0.174995198826141,0.289568171,,0.215315366,5.969531571,0.1298486,0.3381,0.511249357,NA,NA,NA,-0.174995198826141
Bordeaux,2012,180,22,23.249375,0.821143395,0.395454546,400,1,-0.178893673211943,0.289333916,,0.186499302,5.170617832,0.1298486,0.2175,0.431566008,NA,NA,NA,-0.178893673211943
Bordeaux,2012,180,23,22.5575,0.84257402,0.400227272,400,1,-0.183057913466688,0.289078702,,0.202700998,5.619803313,0.1298486,0.220125,0.369079977,NA,NA,NA,-0.183057913466688
Bordeaux,2012,181,0,22.025,0.86078855,0.351,400,1,-0.187499999857143,0.288801365,,0.212478614,5.89088377,0.1298486,0.19305,0.334501691,NA,NA,NA,-0.187499999857143
Bordeaux,2012,181,1,21.624375,0.87066534,0.336,400,1,-0.19222917054401,0.288290744,,0.406812979,11.27872557,0.1298486,0.1848,0.31335821,NA,NA,NA,-0.19222917054401
Bordeaux,2012,181,2,21.20375,0.875658221,0.336545454,400,1,-0.19724329526372,0.288120567,,0.136247399,3.777404121,0.1298486,0.1851,0.293278838,NA,NA,NA,-0.19724329526372
Bordeaux,2012,181,3,20.783125,0.8805755,0.364636363,400,1,-0.202537401646624,0.287993187,,0.094963117,2.632814085,0.1298486,0.20055,0.281946389,NA,NA,NA,-0.202537401646624
Bordeaux,2012,181,4,20.571875,0.883630626,18.80600846,400,1,-0.208106517323084,0.287865298,,0.103829083,2.878619398,0.1298486,10.34330466,0.342546086,NA,NA,NA,-0.208106517323084
Bordeaux,2012,181,5,21.26375,0.865883667,155.7881482,400,1,-0.21394566992346,0.287333365,,0.418599477,11.60550147,0.1298486,85.68348149,0.609170616,NA,NA,NA,-0.21394566992346
Bordeaux,2012,181,6,23.54,0.797343186,454.7913426,400,1,-0.220049887078104,0.285374974,,1.523631574,42.24207013,0.1298486,250.1352384,0.844108793,NA,NA,NA,-0.220049887078104
Bordeaux,2012,181,7,24.9475,0.73426981,884.6473363,400,1,-0.226414196417376,0.281524891,,2.991601702,82.94094912,0.1298486,486.556035,0.926849785,NA,NA,NA,-0.226414196417376
Bordeaux,2012,181,8,24.97875,0.708781557,1384.808668,400,1,-0.233033625571639,0.276756907,,3.755935275,104.1317888,0.1298486,761.6447672,1.145013894,NA,NA,NA,-0.233033625571639
Bordeaux,2012,181,9,26.1275,0.665481663,1972.816921,400,1,-0.239903202171242,0.270372137,,5.006635429,138.8069455,0.1298486,1085.049307,1.317155821,-0.163333333,-0.596666667,146.264104,-0.239903202171242
Bordeaux,2012,181,10,27.3975,0.640966511,2433.9074,400,1,-0.247017953846548,0.263286351,,5.57365585,154.5273577,0.1298486,1338.64907,1.385701453,-0.18,-0.56,240.7279501,-0.247017953846548
Bordeaux,2012,181,11,28.16625,0.640035227,2467.383632,400,1,-0.254372908227918,0.255796849,,5.899087966,163.5498317,0.1298486,1357.060998,1.452909232,-0.2025,-0.6575,160.9904151,-0.254372908227918
Bordeaux,2012,181,12,28.78625,0.635759275,1980.433307,400,1,-0.261963092945702,0.249198854,,5.20999302,144.4449526,0.1298486,1089.238319,1.477937495,-0.21,-0.79,246.5404723,-0.261963092945702
Bordeaux,2012,181,13,29.005625,0.636824472,1952.118415,400,1,-0.269783535630262,0.242050448,,5.632408345,156.1562469,0.1298486,1073.665128,1.441320023,NA,NA,NA,-0.269783535630262
Bordeaux,2012,181,14,28.793125,0.642974631,1814.122484,400,1,-0.277829263911961,0.236815661,,4.115981064,114.1139129,0.1298486,997.7673664,1.294318329,-0.163333333,-0.73,198.453132,-0.277829263911961
Bordeaux,2012,181,15,28.001875,0.661471424,1123.723767,400,1,-0.286095305421146,0.232665745,,3.272354076,90.72469534,0.1298486,618.0480721,1.200781315,-0.2,-0.745,171.3472718,-0.286095305421146
Bordeaux,2012,181,16,27.591875,0.675723076,1051.755705,400,1,-0.294576687788181,0.228728497,,3.117046577,86.41885763,0.1298486,578.4656378,1.138470676,-0.193333333,-0.713333333,235.4771538,-0.294576687788181
Bordeaux,2012,181,17,27.273125,0.687902474,957.4445987,400,1,-0.303268438643428,0.225832455,,2.293500192,63.58636667,0.1298486,526.5945293,1.121107012,NA,NA,NA,-0.303268438643428
Bordeaux,2012,181,18,26.62625,0.680247024,542.9282114,400,1,-0.312165585617236,0.223809389,,1.600022383,44.35997446,0.1298486,298.6105163,1.375085864,NA,NA,NA,-0.312165585617236
Bordeaux,2012,181,19,26.86125,0.613800013,204.064743,400,1,-0.321263156339966,0.223043107,,0.604248084,16.75253413,0.1298486,112.2356087,1.501239501,NA,NA,NA,-0.321263156339966
Bordeaux,2012,181,20,26.53125,0.568297444,37.05284752,400,1,-0.330556178441983,0.222617941,,0.334045281,9.26127053,0.1298486,20.37906613,1.366197464,NA,NA,NA,-0.330556178441983
Bordeaux,2012,181,21,25.22625,0.57489901,0.511636363,400,1,-0.340039679553633,0.222213061,,0.324108029,8.985764217,0.1298486,0.2814,1.25043612,NA,NA,NA,-0.340039679553633
