station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_Potential,soilWater_content,rainfall
Bordeaux,2012,195,0,20.1315,0.8475,0,400,1.1,-0.05,,
Bordeaux,2012,195,1,19.599,0.848,0,400,1.1,-0.05,,
Bordeaux,2012,195,2,19.231,0.8465,0,400,1.1,-0.05,,
Bordeaux,2012,195,3,18.639,0.831,0,400,1.1,-0.05,,
Bordeaux,2012,195,4,18.1755,0.829,0,400,1.1,-0.05,,
Bordeaux,2012,195,5,17.922,0.8335,0,400,1.1,-0.05,,
Bordeaux,2012,195,6,17.809,0.845,8.630769231,400,1.1,-0.05,,
Bordeaux,2012,195,7,18.3315,0.8645,48.18846154,400,1.1,-0.05,,
Bordeaux,2012,195,8,21.0215,0.83885,222.4580769,400,1.1,-0.05,,
Bordeaux,2012,195,9,25.8055,0.662,798.3461539,400,1.1,-0.05,,
Bordeaux,2012,195,10,25.8205,0.54845,850.5678,400,1.1,-0.05,,
Bordeaux,2012,195,11,27.9575,0.443,996.1346154,400,1.1,-0.05,,
Bordeaux,2012,195,12,27.928,0.4528,865.9538461,400,1.1,-0.05,,
Bordeaux,2012,195,13,28.7435,0.4754,749.0788461,400,1.1,-0.05,,
Bordeaux,2012,195,14,29.927,0.472,773.5326924,400,1.1,-0.05,,
Bordeaux,2012,195,15,29.6915,0.46495,607.8895308,400,1.1,-0.05,,
Bordeaux,2012,195,16,26.725,0.5629,217.3875,400,1.1,-0.05,,
Bordeaux,2012,195,17,26.5665,0.5857,262.3034615,400,1.1,-0.05,,
Bordeaux,2012,195,18,25.102,0.61175,169.0911539,400,1.1,-0.05,,
Bordeaux,2012,195,19,23.4285,0.72135,68.00326924,400,1.1,-0.05,,
Bordeaux,2012,195,20,22.3,0.7882,18.44826924,400,1.1,-0.05,,
Bordeaux,2012,195,21,21.7765,0.834,16.50634615,400,1.1,-0.05,,
Bordeaux,2012,195,22,21.282,0.8525,0.215769231,400,1.1,-0.05,,
Bordeaux,2012,195,23,20.7695,0.856,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,196,0,20.1315,0.8475,0,400,1.1,-0.05,,
