leaf.rank,leaf.length,leaf.width,internode.length,petile.length,leaf.area
1,0.04,0.0214,0.00282322974010189,0.02,0.00062488
2,0.05,0.02675,0.00276726255828415,0.025,0.000976375
3,0.055,0.029425,0.00535950713072924,0.0275,0.00118141375
4,0.06,0.0321,0.0100559775249627,0.03,0.00140598
5,0.07,0.03745,0.0177920846051962,0.035,0.001913695
6,0.08,0.0428,0.0284372937832245,0.04,0.00249952
7,0.09,0.04815,0.0388146312535511,0.045,0.003163455
8,0.1,0.0535,0.0429538117355793,0.05,0.0039055
9,0.11,0.05885,0.0377772684860382,0.055,0.004725655
10,0.11,0.05885,0.0270744955658632,0.055,0.004725655
11,0.11,0.05885,0.0166872892064393,0.055,0.004725655
12,0.11,0.05885,0.00934725720552916,0.055,0.004725655
13,0.11,0.05885,0.00934725720552916,0.055,0.004725655
14,0.11,0.05885,0.00934725720552916,0.055,0.004725655
15,0.11,0.05885,0.00934725720552916,0.055,0.004725655
16,0.11,0.05885,0.00934725720552916,0.055,0.004725655
17,0.11,0.05885,0.00934725720552916,0.055,0.004725655
18,0.11,0.05885,0.00934725720552916,0.055,0.004725655
19,0.11,0.05885,0.00934725720552916,0.055,0.004725655
20,0.11,0.05885,0.00934725720552916,0.055,0.004725655
21,0.11,0.05885,0.00934725720552916,0.055,0.004725655
22,0.11,0.05885,0.00934725720552916,0.055,0.004725655
23,0.11,0.05885,0.00934725720552916,0.055,0.004725655
24,0.11,0.05885,0.00934725720552916,0.055,0.004725655
25,0.11,0.05885,0.00934725720552916,0.055,0.004725655
26,0.11,0.05885,0.00934725720552916,0.055,0.004725655
27,0.11,0.05885,0.00934725720552916,0.055,0.004725655
28,0.11,0.05885,0.00934725720552916,0.055,0.004725655
29,0.11,0.05885,0.00934725720552916,0.055,0.004725655
30,0.11,0.05885,0.00934725720552916,0.055,0.004725655
31,0.11,0.05885,0.00934725720552916,0.055,0.004725655
32,0.11,0.05885,0.00934725720552916,0.055,0.004725655
33,0.11,0.05885,0.00934725720552916,0.055,0.004725655
34,0.11,0.05885,0.00934725720552916,0.055,0.004725655
35,0.11,0.05885,0.00934725720552916,0.055,0.004725655
36,0.11,0.05885,0.00934725720552916,0.055,0.004725655
37,0.11,0.05885,0.00934725720552916,0.055,0.004725655
38,0.11,0.05885,0.00934725720552916,0.055,0.004725655
39,0.11,0.05885,0.00934725720552916,0.055,0.004725655
40,0.11,0.05885,0.00934725720552916,0.055,0.004725655
41,0.11,0.05885,0.00934725720552916,0.055,0.004725655
42,0.11,0.05885,0.00934725720552916,0.055,0.004725655
43,0.11,0.05885,0.00934725720552916,0.055,0.004725655
44,0.11,0.05885,0.00934725720552916,0.055,0.004725655
