time_value,value,time_col,uuid,CropLoad,crop_load_label,source_variable,aggregation,date,panel,panel_title,panel_label,y_label,fallback_note,sd_value,ymin,ymax,dayOfYear,date_value,days_after_full_bloom_doy,days_after_full_bloom_date,days_after_full_bloom,x_axis_mode,full_bloom_doy,days_in_bloom_year,full_bloom_date,simulation_day,x_value,x_label,temporal_x_basis
1,8.614506360160734,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-01,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,1,2022-01-01,74,74,74,DAFB,292,365,2021-10-19,41,74,Days after full bloom,date_minus_full_bloom_date
2,8.614413482731216,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-02,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,2,2022-01-02,75,75,75,DAFB,292,365,2021-10-19,42,75,Days after full bloom,date_minus_full_bloom_date
3,8.447474115847681,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-03,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,3,2022-01-03,76,76,76,DAFB,292,365,2021-10-19,43,76,Days after full bloom,date_minus_full_bloom_date
4,8.476122626176979,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-04,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,4,2022-01-04,77,77,77,DAFB,292,365,2021-10-19,44,77,Days after full bloom,date_minus_full_bloom_date
5,8.733992504266768,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-05,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,5,2022-01-05,78,78,78,DAFB,292,365,2021-10-19,45,78,Days after full bloom,date_minus_full_bloom_date
6,6.8033259629772065,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-06,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,6,2022-01-06,79,79,79,DAFB,292,365,2021-10-19,46,79,Days after full bloom,date_minus_full_bloom_date
7,7.550328122236497,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-07,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,7,2022-01-07,80,80,80,DAFB,292,365,2021-10-19,47,80,Days after full bloom,date_minus_full_bloom_date
8,8.272331439961997,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-08,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,8,2022-01-08,81,81,81,DAFB,292,365,2021-10-19,48,81,Days after full bloom,date_minus_full_bloom_date
9,8.46980007853921,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-09,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,9,2022-01-09,82,82,82,DAFB,292,365,2021-10-19,49,82,Days after full bloom,date_minus_full_bloom_date
10,8.657117141704664,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-10,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,10,2022-01-10,83,83,83,DAFB,292,365,2021-10-19,50,83,Days after full bloom,date_minus_full_bloom_date
11,8.920154900945688,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-11,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,11,2022-01-11,84,84,84,DAFB,292,365,2021-10-19,51,84,Days after full bloom,date_minus_full_bloom_date
12,8.091964760924656,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-12,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,12,2022-01-12,85,85,85,DAFB,292,365,2021-10-19,52,85,Days after full bloom,date_minus_full_bloom_date
13,6.788338592428778,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-13,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,13,2022-01-13,86,86,86,DAFB,292,365,2021-10-19,53,86,Days after full bloom,date_minus_full_bloom_date
14,5.515358870560751,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-14,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,14,2022-01-14,87,87,87,DAFB,292,365,2021-10-19,54,87,Days after full bloom,date_minus_full_bloom_date
15,7.478346014656659,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-15,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,15,2022-01-15,88,88,88,DAFB,292,365,2021-10-19,55,88,Days after full bloom,date_minus_full_bloom_date
16,7.688200781807237,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-16,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,16,2022-01-16,89,89,89,DAFB,292,365,2021-10-19,56,89,Days after full bloom,date_minus_full_bloom_date
17,8.713238843437535,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-17,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,17,2022-01-17,90,90,90,DAFB,292,365,2021-10-19,57,90,Days after full bloom,date_minus_full_bloom_date
18,8.72012028254648,dayOfYear,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,meanAnet,daily_max,2022-01-18,A,(a) Mean net photosynthesis,(a) Mean net photosynthesis,A_net (umol CO2 m^-2 s^-1),Original meanAnet was used without conversion; daily maximum was used,NA,NA,NA,18,2022-01-18,91,91,91,DAFB,292,365,2021-10-19,58,91,Days after full bloom,date_minus_full_bloom_date
