leaf.rank,leaf.length,leaf.width,internode.length,petile.length,leaf.area,codon.length.m,codon.diameter.m
1,0.1026,0.0767,0.01586,0.036,0.004847563,0.1,0.01
2,0.1107,0.0728,0.03406,0.039,0.004964319,0.12,0.01257
3,0.1296,0.0949,0.04966,0.045,0.007576209,0.12,0.01046
4,0.1458,0.1053,0.03718,0.051,0.009457288,0.12,0.00996
5,0.09045,0.0598,0.03718,0.031,0.003331889,0.092352,0.01029
6,0.11745,0.0806,0.03718,0.041,0.005831346,0.077558,0.00994
7,0.1323,0.0962,0.0377,0.046,0.007839992,0.077558,0.00952
8,0.13905,0.0962,0.04212,0.049,0.008239992,0.095017,0.00999
9,0.1431,0.0975,0.03744,0.05,0.008594586,0.07241,0.01049
10,0.1485,0.1014,0.04888,0.052,0.009275666,0.073515,0.00953
11,0.14985,0.1014,0.0598,0.052,0.009359991,0.073515,0.00912
12,0.14985,0.1014,0.0429,0.052,0.009359991,0.073515,0.00953
13,0.15795,0.1092,0.06344,0.055,0.010624854,0.073515,0.00918
14,0.1566,0.1092,0.06162,0.055,0.010534044,0.073515,0.00929
15,0.16335,0.1105,0.04004,0.057,0.011118908,0.073515,0.00957
16,0.16335,0.1118,0.04784,0.057,0.011249718,0.073515,0.00957
17,0.16335,0.1105,0.04004,0.057,0.011118908,0.073515,0.00957
18,0.16335,0.1118,0.04784,0.057,0.011249718,0.073515,0.00957
