,hourOfDay,azimuth,solarElevation,leafAreaPerPlant,fDiffuseLight,incomingRadiation,Ta,rh,wind,soilWaterPotential,P:eq1_b,P:phi_stem,P:Grmax_a,P:slope_Jmax,P:cx1,waterFlux_optimized,xylemWaterPotential,intWaterPotential_1,intWaterPotential_2,intWaterPotential_3,intWaterPotential_4
hourOfDay,1.0,0.7810594552284322,0.1944975158165158,-2.2355588226177262e-15,-0.014532524046707586,0.08153254052738416,0.2777543679732845,-0.17151861953278516,0.18362135426175424,-1.2448357349032588e-17,-2.232020657674141e-15,1.063086241835296e-15,-3.3185506729347706e-15,-1.6132705953512258e-16,1.9377962195828562e-15,0.10706721749244069,-0.024393977348635028,-0.027816591572628276,-0.027895459970819828,-0.02959290668446863,-0.030617153440369235
azimuth,0.7810594552284322,1.0,0.18529203745207104,-0.0004366923835296727,-0.03458190749487609,0.0962748574126377,0.22249825694327,-0.12410070874636293,0.1524431224382848,0.0017845410504828067,-0.0002812680311935222,-8.653262112088005e-05,-0.00018503966355410266,-0.00039911596333912236,0.0004131744999431899,0.09377057807386183,-0.018688496330604765,-0.021684374056951807,-0.021663477738764144,-0.023092436799026516,-0.02375898976325657
solarElevation,0.1944975158165158,0.18529203745207104,1.0,0.0004257511505967444,0.08006345459308163,0.3409433603977324,0.18229106142332438,-0.18729099470970134,0.24569506711704622,0.04289123418427912,-0.0019514465543057414,0.005239688387955175,-0.013226070104272807,0.06005411106500681,0.018047086086616645,0.0931599993140747,0.02728773379136592,0.025392581801503715,0.025132288537131283,0.024351027062888494,0.02360282598188729
leafAreaPerPlant,-2.2355588226177262e-15,-0.0004366923835296727,0.0004257511505967444,1.0,-0.0014388522665980423,-0.00032267498556597297,0.000921094726115152,-0.005252705442772227,0.0037466876308326195,0.0007533340353233866,0.9982501760985957,0.03566593699041078,-0.009765846619946278,-0.09333420253627077,-0.12374958348416719,-0.01145047237421042,0.07802456266363965,0.08033114151548805,0.08075302279136704,0.08251145836350111,0.08234952867404344
fDiffuseLight,-0.014532524046707586,-0.03458190749487609,0.08006345459308163,-0.0014388522665980423,1.0,-0.7990478544502759,-0.3469758312296297,0.47938946789015124,-0.08203290739791567,0.06278775333095102,-0.00017738378966685863,0.0019823121760125526,-0.00428189817117141,0.021659663839365923,0.005555190417535424,-0.28450242364800965,0.17011675484186722,0.1805654299403868,0.18361252993831872,0.18929579630986365,0.19610989926578679
incomingRadiation,0.08153254052738416,0.0962748574126377,0.3409433603977324,-0.00032267498556597297,-0.7990478544502759,1.0,0.4689760412824715,-0.5532650735242773,0.14363311363169434,-0.028383847478714128,-0.001044976175368983,-0.00022524679377071657,-0.0008842695942936238,-0.0004475047673149962,0.0017852081285623608,0.33586585802762703,-0.14643872779785347,-0.1579217513665525,-0.16114650325583552,-0.1673615532993901,-0.17462609088064382
Ta,0.2777543679732845,0.22249825694327,0.18229106142332438,0.000921094726115152,-0.3469758312296297,0.4689760412824715,1.0,-0.529670709353833,-0.06881741170540474,0.10485814560126398,0.0008636884121310427,-0.0014197857902469304,0.004014861891645128,-0.01690586952046474,-0.005649975670966552,0.4470416373115624,0.006595627812054484,-0.00542847137628247,-0.008625033241840913,-0.015181867059484405,-0.022524118753662267
rh,-0.17151861953278516,-0.12410070874636293,-0.18729099470970134,-0.005252705442772227,0.47938946789015124,-0.5532650735242773,-0.529670709353833,1.0,-0.21979060455874197,0.055062343863372665,-0.0022139174684026514,-0.0006242538428955457,-0.001572760771234668,-0.0025298421873979323,0.0033999850698454488,-0.3177663005289193,0.1588916422969094,0.17010809878072666,0.1728746268341058,0.17877909101133427,0.18536379777862597
wind,0.18362135426175424,0.1524431224382848,0.24569506711704622,0.0037466876308326195,-0.08203290739791567,0.14363311363169434,-0.06881741170540474,-0.21979060455874197,1.0,-0.05817018220457199,0.0003477444996549554,0.0018966271539257843,-0.003430846895416863,0.019745162668295468,0.004141119447551174,-0.018714286645063898,-0.07199891283273058,-0.07264113880560166,-0.07246212561381171,-0.07263373817763207,-0.07259244513769433
soilWaterPotential,-1.2448357349032588e-17,0.0017845410504828067,0.04289123418427912,0.0007533340353233866,0.06278775333095102,-0.028383847478714128,0.10485814560126398,0.055062343863372665,-0.05817018220457199,1.0,0.0005722749994946956,0.0004046854306658424,-9.10241683607289e-05,0.0032714270933166603,-0.00024637665108931216,0.7241862885889653,0.9440695525415184,0.9396697667519458,0.9384043349162898,0.935654961614982,0.9324816248234021
